keyword;label
Bank Bumi Arta;BNBA
BNBR;BNBR
Bakrie & Brothers Tbk.;BNBR
Bakrie & Brothers Tbk;BNBR
Bakrie & Brothers;BNBR
BNGA;BNGA
Bank CIMB Niaga Tbk.;BNGA
Bank CIMB Niaga Tbk;BNGA
Bank CIMB Niaga;BNGA
BNII;BNII
Bank Maybank Indonesia Tbk.;BNII
Bank Maybank Indonesia Tbk;BNII
Bank Maybank Indonesia;BNII
BNLI;BNLI
Bank Permata Tbk.;BNLI
Bank Permata Tbk;BNLI
Bank Permata;BNLI
BOAT;BOAT
Newport Marine Services Tbk.;BOAT
Newport Marine Services Tbk;BOAT
Newport Marine Services;BOAT
BOBA;BOBA
Formosa Ingredient Factory Tbk.;BOBA
Formosa Ingredient Factory Tbk;BOBA
Formosa Ingredient Factory;BOBA
BOGA;BOGA
Apollo Global Interactive Tbk.;BOGA
Apollo Global Interactive Tbk;BOGA
Apollo Global Interactive;BOGA
BOLA;BOLA
Bali Bintang Sejahtera Tbk.;BOLA
Bali Bintang Sejahtera Tbk;BOLA
Bali Bintang Sejahtera;BOLA
BOLT;BOLT
Garuda Metalindo Tbk.;BOLT
Garuda Metalindo Tbk;BOLT
Garuda Metalindo;BOLT
BOSS;BOSS
Borneo Olah Sarana Sukses Tbk.;BOSS
Borneo Olah Sarana Sukses Tbk;BOSS
Borneo Olah Sarana Sukses;BOSS
BPFI;BPFI
Woori Finance Indonesia Tbk.;BPFI
Woori Finance Indonesia Tbk;BPFI
Woori Finance Indonesia;BPFI
BPII;BPII
Batavia Prosperindo Internasional Tbk.;BPII
Batavia Prosperindo Internasional Tbk;BPII
Batavia Prosperindo Internasional;BPII
BPTR;BPTR
Batavia Prosperindo Trans Tbk.;BPTR
Batavia Prosperindo Trans Tbk;BPTR
Batavia Prosperindo Trans;BPTR
BRAM;BRAM
Indo Kordsa Tbk.;BRAM
Indo Kordsa Tbk;BRAM
Indo Kordsa;BRAM
BREN;BREN
Barito Renewables Energy Tbk.;BREN
Barito Renewables Energy Tbk;BREN
Barito Renewables Energy;BREN
BRIS;BRIS
Bank Syariah Indonesia (Persero) Tbk.;BRIS
Bank Syariah Indonesia (Persero) Tbk;BRIS
Bank Syariah Indonesia (Persero);BRIS
BRMS;BRMS
Bumi Resources Minerals Tbk.;BRMS
Bumi Resources Minerals Tbk;BRMS
Bumi Resources Minerals;BRMS
BRNA;BRNA
Berlina Tbk.;BRNA
Berlina Tbk;BRNA
Berlina;BRNA
BRPT;BRPT
Barito Pacific Tbk.;BRPT
Barito Pacific Tbk;BRPT
Barito Pacific;BRPT
BRRC;BRRC
Raja Roti Cemerlang Tbk.;BRRC
Raja Roti Cemerlang Tbk;BRRC
Raja Roti Cemerlang;BRRC
BSBK;BSBK
Wulandari Bangun Laksana Tbk.;BSBK
Wulandari Bangun Laksana Tbk;BSBK
Wulandari Bangun Laksana;BSBK
BSDE;BSDE
Bumi Serpong Damai Tbk.;BSDE
Bumi Serpong Damai Tbk;BSDE
Bumi Serpong Damai;BSDE
BSIM;BSIM
Bank Sinarmas Tbk.;BSIM
Bank Sinarmas Tbk;BSIM
Bank Sinarmas;BSIM
BSML;BSML
Bintang Samudera Mandiri Lines Tbk.;BSML
Bintang Samudera Mandiri Lines Tbk;BSML
Bintang Samudera Mandiri Lines;BSML
BSSR;BSSR
Baramulti Suksessarana Tbk.;BSSR
Baramulti Suksessarana Tbk;BSSR
Baramulti Suksessarana;BSSR
BSWD;BSWD
Bank Of India Indonesia Tbk.;BSWD
Bank Of India Indonesia Tbk;BSWD
Bank Of India Indonesia;BSWD
BTEK;BTEK
